"geneSymbol","diseaseName"
"FABP4","Malignant neoplasm of breast|Carcinoma|Contact Dermatitis|Kidney Diseases|Animal Mammary Neoplasms|Mammary Neoplasms, Experimental|Contact hypersensitivity|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Mammary Carcinoma, Animal"
"FABP5","Schizophrenia|Myocardial Ischemia|Liver carcinoma"
"FABP7","Bipolar Disorder|Malignant neoplasm of breast|Liver Cirrhosis, Experimental|Schizophrenia|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Mammary Carcinoma, Human"
"FADD","Sensorineural Hearing Loss (disorder)|Neoplasm Metastasis|Stomatognathic Diseases|Craniofacial Abnormalities|Sensory hearing loss|Dental Diseases|Oculootodental syndrome|INFECTIONS, RECURRENT, WITH ENCEPHALOPATHY, HEPATIC DYSFUNCTION, AND CARDIOVASCULAR MALFORMATIONS|Functional hyposplenism|Abnormality of cardiovascular system morphology|Diverticular Diseases|Diverticular Bleeding"
"FADS1","Colorectal Carcinoma|Colorectal Neoplasms|Hepatitis, Toxic|Malignant neoplasm of stomach|Stomach Neoplasms|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Hereditary Diffuse Gastric Cancer|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"FADS2","Bipolar Disorder|Depression, Bipolar|Colorectal Carcinoma|Colorectal Neoplasms|Hepatitis, Toxic|Lipoidosis|Manic Disorder|Schizophrenia|Manic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"FAF2","Prostatic Neoplasms|Malignant neoplasm of prostate"
"FAH","Cholestasis|Tyrosinemias|Tyrosine Transaminase Deficiency Disease|Tyrosinemia, Type I|Tyrosinemia, Type III|Erythrocyte Mean Corpuscular Hemoglobin Test|Finding of Mean Corpuscular Hemoglobin"
"FAHD1","Liver Cirrhosis, Experimental"
"FAM102B","Liver Cirrhosis, Experimental"
"FAM107A","Glioma|mixed gliomas|Malignant Glioma|Malignant neoplasm of ovary"
"FAM110B","Colorectal Carcinoma|Anorectal Malformations"
"FAM111A","Kenny-Caffey syndrome|Gracile bone dysplasia|Kenny-Caffey syndrome, type 2"
"FAM111B","Renal Cell Carcinoma|Conventional (Clear Cell) Renal Cell Carcinoma|Chromophobe Renal Cell Carcinoma|Sarcomatoid Renal Cell Carcinoma|Collecting Duct Carcinoma of the Kidney|Papillary Renal Cell Carcinoma|Liver carcinoma|POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS"
"FAM126A","Drug abuse|Drug habituation|Drug Use Disorders|Profound Mental Retardation|Mental Retardation, Psychosocial|Organic Mental Disorders, Substance-Induced|Substance Dependence|Substance Use Disorders|Substance-Related Disorders|Substance abuse problem|Mental deficiency|Drug Dependence|HYPOMYELINATION AND CONGENITAL CATARACT|Intellectual Disability|Prescription Drug Abuse"
"FAM126B","Weight Gain"
"FAM131A","Malignant neoplasm of breast"
"FAM136A","Meniere Disease"
"FAM13A","Chronic Obstructive Airway Disease|Pulmonary Fibrosis|Hamman-Rich syndrome|Chronic Airflow Obstruction|Idiopathic Pulmonary Fibrosis|Alveolitis, Fibrosing|Hamman-Rich Disease|Usual Interstitial Pneumonia|Familial Idiopathic Pulmonary Fibrosis"
"FAM149B1","Orofaciodigital Syndromes|Familial aplasia of the vermis|OROFACIODIGITAL SYNDROME VI"
"FAM155A","Diverticulitis|Diverticular Diseases|Diverticular Bleeding"
"FAM160B1","melanoma|Global developmental delay|Central hypotonia|Intellectual Disability|Abnormality of the face"
"FAM161A","Disorder of eye|Retinitis Pigmentosa|RETINITIS PIGMENTOSA 28"
"FAM167B","Liver Cirrhosis, Experimental"
"FAM168A","Malignant neoplasm of stomach|Stomach Neoplasms|Disease Exacerbation|Hereditary Diffuse Gastric Cancer"
"FAM180A","Endometriosis|Endometrioma|Liver carcinoma"
"FAM184A","Drug abuse|Drug habituation|Drug Use Disorders|Organic Mental Disorders, Substance-Induced|Substance Dependence|Substance Use Disorders|Substance-Related Disorders|Substance abuse problem|Drug Dependence|Prescription Drug Abuse"
"FAM184B","Drug abuse|Drug habituation|Drug Use Disorders|Organic Mental Disorders, Substance-Induced|Substance Dependence|Substance Use Disorders|Substance-Related Disorders|Substance abuse problem|Drug Dependence|Prescription Drug Abuse"
"FAM189B","Malignant neoplasm of breast"
"FAM20A","Juvenile-Onset Still Disease|Amelogenesis imperfecta nephrocalcinosis|Juvenile arthritis|Juvenile psoriatic arthritis|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"FAM20C","Disproportionate short stature|RAINE SYNDROME"
"FAM210A","Malignant neoplasm of breast"
"FAM217B","Malignant neoplasm of breast"
"FAM234A","Diabetes Mellitus, Non-Insulin-Dependent"
"FAM3D","Schizophrenia"
"FAM43A","Liver Cirrhosis, Experimental"
"FAM53B","Cocaine Dependence"
"FAM71A","Retinitis Pigmentosa"
"FAM72B","Liver carcinoma"
"FAM83D","Liver carcinoma"
"FAM83F","Malignant neoplasm of breast"
"FAM83G","Keratoderma, Palmoplantar"
"FAM83H","Amelogenesis Imperfecta|Craniofacial Abnormalities|Amelogenesis Imperfecta, Type III"
"FAM89A","Liver Cirrhosis, Experimental"
"FAM92A","Syndactyly|POLYDACTYLY, POSTAXIAL|Polysyndactyly|POSTAXIAL POLYDACTYLY, TYPE B|Postaxial polydactyly type A|Ciliopathies|Polydactyly, Postaxial, Type A1"
"FAM92B","Crohn Disease|Crohn's disease of large bowel|Crohn's disease of the ileum|Regional enteritis|IIeocolitis"
"FAN1","Hereditary Nonpolyposis Colorectal Neoplasms|Nephritis, Interstitial|Hereditary non-polyposis colorectal cancer syndrome|Hereditary Nonpolyposis Colorectal Cancer|Hereditary Non-Polyposis Colon Cancer Type 2|Chronic Kidney Diseases|Megalocytic interstitial nephritis|Colorectal cancer, hereditary nonpolyposis, type 1|INTERSTITIAL NEPHRITIS, KARYOMEGALIC"
"FANCA","Malignant neoplasm of urinary bladder|Bladder Neoplasm|Adenocarcinoma of prostate|Adenoid Cystic Carcinoma|Fanconi Anemia|Hyperinsulinism|leukemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Salivary Gland Neoplasms|Malignant neoplasm of salivary gland|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|Endogenous Hyperinsulinism|Exogenous Hyperinsulinism|Compensatory Hyperinsulinemia|hearing impairment|Bone marrow hypocellularity|Estren-Dameshek Variant of Fanconi Anemia|Estren-Dameshek Variant of Fanconi Pancytopenia|Growth retardation, pre- and postnatal|MYELODYSPLASTIC SYNDROME|FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)|Abnormality of radial ray"
"FANCB","Fanconi Anemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|FANCONI ANEMIA, COMPLEMENTATION GROUP B|VACTERL Association With Hydrocephalus|Vater Association With Hydrocephalus|Bone marrow hypocellularity|Vater Association With Macrocephaly And Ventriculomegaly|VACTERL ASSOCIATION, X-LINKED, WITH OR WITHOUT HYDROCEPHALUS|MYELODYSPLASTIC SYNDROME|FANCONI ANEMIA, COMPLEMENTATION GROUP C|Anorectal Malformations|Abnormality of radial ray"
"FANCC","Malignant neoplasm of urinary bladder|Bladder Neoplasm|Fanconi Anemia|Hyperinsulinism|leukemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Benign neoplasm of bladder|Carcinoma in situ of bladder|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|Neoplasm of uncertain or unknown behavior of bladder|Carcinoma of bladder|Endogenous Hyperinsulinism|Exogenous Hyperinsulinism|Compensatory Hyperinsulinemia|hearing impairment|Bone marrow hypocellularity|Growth retardation, pre- and postnatal|MYELODYSPLASTIC SYNDROME|FANCONI ANEMIA, COMPLEMENTATION GROUP C|Abnormality of radial ray"
"FANCD2","Fanconi Anemia|leukemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|Bone marrow hypocellularity|Liver carcinoma|FANCONI ANEMIA, COMPLEMENTATION GROUP D2|MYELODYSPLASTIC SYNDROME|Abnormality of radial ray"
"FANCE","Fanconi Anemia|leukemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|Bone marrow hypocellularity|FANCONI ANEMIA, COMPLEMENTATION GROUP E|MYELODYSPLASTIC SYNDROME|Abnormality of radial ray"
"FANCF","Fanconi Anemia|leukemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|Bone marrow hypocellularity|MYELODYSPLASTIC SYNDROME|FANCONI ANEMIA, COMPLEMENTATION GROUP F|Abnormality of radial ray"
"FANCG","Colorectal Carcinoma|Fanconi Anemia|leukemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Mouth Diseases|Pancytopenia|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|hearing impairment|Bone marrow hypocellularity|Growth retardation, pre- and postnatal|MYELODYSPLASTIC SYNDROME|fanconi anemia complementation group g|Abnormality of radial ray"
"FANCI","Fanconi Anemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|FANCONI ANEMIA, COMPLEMENTATION GROUP I|Bone marrow hypocellularity|Liver carcinoma|MYELODYSPLASTIC SYNDROME|Abnormality of radial ray"
"FANCL","Fanconi Anemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|Bone marrow hypocellularity|MYELODYSPLASTIC SYNDROME|FANCONI ANEMIA, COMPLEMENTATION GROUP L|Abnormality of radial ray"
"FANCM","Fanconi Anemia|Acute monocytic leukemia|Leukemia, Myelocytic, Acute|Pancytopenia|Miller Dieker syndrome|Malignant Head and Neck Neoplasm|Bone marrow hypocellularity|MYELODYSPLASTIC SYNDROME|Abnormality of radial ray"
"FAR1","PEROXISOMAL FATTY ACYL-CoA REDUCTASE 1 DISORDER"
"FARP1","Malignant neoplasm of breast|Drug abuse|Drug habituation|Drug Use Disorders|Organic Mental Disorders, Substance-Induced|Substance Dependence|Substance Use Disorders|Substance-Related Disorders|Substance abuse problem|Drug Dependence|Prescription Drug Abuse"
"FARP2","Autistic Disorder|Chronic Lymphocytic Leukemia|Chromosome 2q37 deletion syndrome"
"FARS2","Leigh Disease|LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY|Leigh Syndrome Due To Mitochondrial Complex II Deficiency|Leigh Syndrome due to Mitochondrial Complex III Deficiency|Leigh Syndrome due to Mitochondrial Complex IV Deficiency|Leigh Syndrome due to Mitochondrial Complex V Deficiency|Necrotizing encephalopathy, infantile subacute, of Leigh|COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14|SPASTIC PARAPLEGIA 77, AUTOSOMAL RECESSIVE"
"FARSB","Microcephaly|Lung Diseases, Interstitial|Cerebral calcification|Brain calcification Rajab type|Intellectual Disability"
"FAS","Alloxan Diabetes|Anemia, Splenic|Autoimmune Diseases|Behcet Syndrome|Malignant neoplasm of urinary bladder|Bladder Neoplasm|Squamous cell carcinoma|Cardiomyopathy, Dilated|Diabetes Mellitus, Experimental|Diabetes Mellitus, Non-Insulin-Dependent|Glomerulonephritis|Hematological Disease|Hepatoma, Morris|Hepatoma, Novikoff|Hypersplenism|Leukemia, Myelocytic, Acute|Liver Cirrhosis, Experimental|Liver Neoplasms, Experimental|Lung Neoplasms|Lymphoma|Lymphoma, Non-Hodgkin|Malaria, Falciparum|Myasthenia Gravis|Acute Myeloid Leukemia, M1|Necrosis|Nephritis|Pregnancy Complications, Cardiovascular|Cardiomyopathies, Primary|Proteinuria|Schizophrenia|Myocardial Diseases, Secondary|Splenomegaly|Streptozotocin Diabetes|Taste Disorders|Uveomeningoencephalitic Syndrome|Diffuse Large B-Cell Lymphoma|Lymphoma, T-Cell, Cutaneous|Experimental Hepatoma|Liver Failure, Acute|Taste Disorder, Primary|Taste Disorder, Primary, Sweet|Taste Disorder, Primary, Salt|Taste Disorder, Primary, Bitter|Taste Disorder, Anterior Tongue|Taste Disorder, Secondary|Taste Disorder, Secondary, Sweet|Taste Disorder, Secondary, Salt|Taste Disorder, Secondary, Bitter|Taste Disorder, Posterior Tongue|Taste, Metallic|Malignant neoplasm of lung|Acute Lung Injury|Ventricular Dysfunction, Left|Granulomatous Slack Skin|Non-alcoholic Fatty Liver Disease|Myasthenia Gravis, Generalized|Myasthenia Gravis, Ocular|Cardiomyopathies|Autoimmune Lymphoproliferative Syndrome|Cardiomyopathy, Familial Idiopathic|Bright Disease|Autoimmune Lymphoproliferative Syndrome Type 2B|Acute Myeloid Leukemia (AML-M2)|Autoimmune Lymphoproliferative Syndrome Type 1, Autosomal Dominant|Nonalcoholic Steatohepatitis|Male Germ Cell Tumor"
"FASLG","Rheumatoid Arthritis|Atherosclerosis|Non-Small Cell Lung Carcinoma|Cardiomyopathy, Dilated|Carotid Artery Diseases|Diabetic Angiopathies|Drug Allergy|Hepatitis|Hyperlipidemia, Familial Combined|Lung Neoplasms|melanoma|Microangiopathy, Diabetic|Cardiomyopathies, Primary|Prostatic Neoplasms|Myocardial Diseases, Secondary|Testicular Diseases|Liver Failure, Acute|Malignant neoplasm of lung|Acute Lung Injury|Malignant neoplasm of prostate|Carotid Atherosclerosis|External Carotid Artery Diseases|Internal Carotid Artery Diseases|Arterial Diseases, Common Carotid|Cardiomyopathies|Autoimmune Lymphoproliferative Syndrome|Cardiomyopathy, Familial Idiopathic|Atherogenesis|Autoimmune Lymphoproliferative Syndrome Type 2B|Autoimmune Lymphoproliferative Syndrome Type 1, Autosomal Dominant"
"FASN","Malignant neoplasm of breast|Malignant Neoplasms|Cardiomyopathy, Dilated|Hypertrophic Cardiomyopathy|Heart failure|Congestive heart failure|Hepatitis, Toxic|Profound Mental Retardation|Kidney Failure, Chronic|Left-Sided Heart Failure|liposarcoma|melanoma|Mental Retardation, Psychosocial|Neoplasms|Obesity|Depressive Symptoms|Benign Neoplasm|Adenocarcinoma of lung (disorder)|Liposarcoma, Dedifferentiated|Liposarcoma, Pleomorphic|Heart Failure, Right-Sided|Squamous cell carcinoma of esophagus|Breast Carcinoma|Drug-Induced Liver Disease|Mental deficiency|ovarian neoplasm|Acute Coronary Syndrome|Malignant neoplasm of ovary|Mammary Neoplasms, Human|Hepatitis, Drug-Induced|Liposarcoma, well differentiated|Cardiomyopathy, Familial Idiopathic|Mammary Neoplasms|Myocardial Failure|Heart Decompensation|Liver carcinoma|Drug-Induced Acute Liver Injury|Intellectual Disability|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Hypertrophic obstructive cardiomyopathy|Mammary Carcinoma, Human"
"FASTK","Adenocarcinoma of lung (disorder)"
"FASTKD2","Dystonia|Cytochrome-c Oxidase Deficiency|Mitochondrial Diseases|FASTKD2-related infantile mitochondrial encephalomyopathy"
"FASTKD3","Malignant neoplasm of breast"
"FASTKD5","Schizophrenia"
"FAT1","Colorectal Carcinoma|Colorectal Neoplasms|Adenoid Cystic Carcinoma|Glioblastoma|Head and Neck Neoplasms|Head Neoplasms|Liver Cirrhosis, Experimental|Neck Neoplasms|Salivary Gland Neoplasms|Malignant neoplasm of salivary gland|Malignant Head and Neck Neoplasm|Squamous cell carcinoma of esophagus|Giant Cell Glioblastoma|Cancer of Neck|Cancer of Head|Upper Aerodigestive Tract Neoplasms|Glioblastoma Multiforme"
"FAT2","Squamous cell carcinoma of esophagus|SPINOCEREBELLAR ATAXIA 45"
"FAT3","Squamous cell carcinoma of esophagus"
"FAT4","Adenocarcinoma|Cystic kidney|Malignant neoplasm of stomach|melanoma|Stomach Neoplasms|Adenocarcinoma, Basal Cell|Adenocarcinoma, Oxyphilic|Carcinoma, Cribriform|Carcinoma, Granular Cell|Adenocarcinoma, Tubular|Squamous cell carcinoma of esophagus|Hennekam lymphangiectasia-lymphedema syndrome|Cystic Kidney Diseases|Hereditary Diffuse Gastric Cancer|Van Maldergem Wetzburger Verloes syndrome|Heterotopia, Periventricular, Autosomal Recessive|Periventricular gray matter heterotopia|VAN MALDERGEM SYNDROME 2|HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 1|HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 2"
"FATE1","Liver carcinoma"
"FAXDC2","Juvenile-Onset Still Disease|Juvenile arthritis|Juvenile psoriatic arthritis|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"FBL","Autoimmune Diseases|Malignant neoplasm of breast|Adenocarcinoma of lung (disorder)|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Mammary Carcinoma, Human"
"FBLIM1","Majeed syndrome"
"FBLN1","Endometriosis|Prostatic Neoplasms|Endometrioma|Malignant neoplasm of prostate|Synpolydactyly 2"
"FBLN2","Colorectal Carcinoma|Colorectal Neoplasms|Weight Gain"
"FBLN5","Cutis Laxa|Pathological accumulation of air in tissues|Heart failure|Congestive heart failure|Pulmonary Hypertension|Left-Sided Heart Failure|Lung diseases|Prostatic Neoplasms|Respiratory Distress Syndrome, Adult|Respiratory Insufficiency|Respiratory Tract Infections|Upper Respiratory Infections|Vascular Diseases|Respiratory Depression|Heart Failure, Right-Sided|Age related macular degeneration|Cutis Laxa, Autosomal Dominant|Cutis Laxa, Autosomal Recessive, Type I|Malignant neoplasm of prostate|Cutis laxa, recessive, type I|Respiratory Failure|MACULAR DEGENERATION, AGE-RELATED, 3|Myocardial Failure|Heart Decompensation|Cutis laxa, recessive|NEUROPATHY, HEREDITARY, WITH OR WITHOUT AGE-RELATED MACULAR DEGENERATION"
"FBN1","Aortic Rupture|Arachnodactyly|Ectopia Lentis|Endometriosis|Hyperglycemia|Hyperinsulinism|Liver Cirrhosis|Liver Cirrhosis, Experimental|Marfan Syndrome|Aortic Aneurysm, Thoracic|Fibrosis, Liver|Acromicric Dysplasia|Weill-Marchesani syndrome|Endometrioma|Aortic Aneurysm, Thoracoabdominal|Aortic Aneurysm, Ruptured|Disproportionate short stature|Endogenous Hyperinsulinism|Exogenous Hyperinsulinism|Compensatory Hyperinsulinemia|Shprintzen-Goldberg syndrome|Ectopia lentis isolated|Hyperglycemia, Postprandial|OVERLAP CONNECTIVE TISSUE DISEASE|Stiff Skin Syndrome|Weill-Marchesani Syndrome, Autosomal Recessive|Weill-Marchesani Syndrome, Autosomal Dominant|Familial ectopia lentis|GEMSS syndrome|GELEOPHYSIC DYSPLASIA 2|Geleophysic dysplasia|ECTOPIA LENTIS 1, ISOLATED, AUTOSOMAL DOMINANT|Neonatal Marfan syndrome|MARFAN LIPODYSTROPHY SYNDROME|Familial thoracic aortic aneurysm and aortic dissection|Marfan Syndrome, Type I"
"FBN2","Colorectal Carcinoma|Colorectal Neoplasms|Congenital contractural arachnodactyly|MACULAR DEGENERATION, EARLY-ONSET|Familial thoracic aortic aneurysm and aortic dissection"
"FBP1","Malignant tumor of colon|Colonic Neoplasms|Fructose-1,6-Diphosphatase Deficiency|Glycogen Storage Disease|Deficiency, Hexosediphosphatase|Malignant neoplasm of stomach|Parkinson Disease|Schizophrenia|Stomach Neoplasms|Hereditary Diffuse Gastric Cancer|Liver carcinoma"
"FBP2","Glycogen Storage Disease"
"FBRSL1","Atrial Fibrillation|Paroxysmal atrial fibrillation|Persistent atrial fibrillation|Prostate cancer, familial|familial atrial fibrillation|PROSTATE CANCER, HEREDITARY, 1"
"FBXL18","Liver carcinoma"
"FBXL19","Arthritis, Psoriatic|Pustulosis of Palms and Soles|Psoriasis"
"FBXL2","Colorectal Carcinoma"
"FBXL21P","Schizophrenia"
"FBXL3","Bipolar Disorder|Dwarfism|Short stature|Mental Retardation, Short Stature, Facial Anomalies, and Joint Dislocations|Short Stature, CTCAE|Intellectual Disability"
"FBXL4","Seizures|FBXL4-related encephalomyopathic mitochondrial DNA depletion syndrome"
"FBXO11","Cleft upper lip|Diffuse Large B-Cell Lymphoma|INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES"
"FBXO21","Weight Gain"
"FBXO30","Colorectal Carcinoma"
"FBXO31","MENTAL RETARDATION, AUTOSOMAL RECESSIVE 45"
"FBXO32","Atrial Fibrillation|Muscular Atrophy|Paroxysmal atrial fibrillation|Neurogenic Muscular Atrophy|Persistent atrial fibrillation|familial atrial fibrillation"
"FBXO38","Spinal muscular atrophy, Jerash type|Distal Hereditary Motor Neuropathy, Type II|NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IID"
"FBXO4","Malignant neoplasm of esophagus"
"FBXO40","Autistic Disorder"
"FBXO44","Polycystic Ovary Syndrome|Prostatic Neoplasms|Malignant neoplasm of prostate|Sclerocystic Ovaries"
"FBXO45","Schizophrenia"
"FBXO6","Toxic Epidermal Necrolysis|Stevens-Johnson Syndrome|Drug-Induced Stevens Johnson Syndrome|Mycoplasma-Induced Stevens-Johnson Syndrome|Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum"
"FBXO7","Dystonia|Parkinsonism, Juvenile|PARKINSON DISEASE 15, AUTOSOMAL RECESSIVE (disorder)"
"FBXO8","Malignant neoplasm of breast"
"FBXO9","Liver Cirrhosis, Experimental"
"FBXW11","Global developmental delay|AUTISM, SUSCEPTIBILITY TO, 15|Abnormality of digit|Intellectual Disability|Abnormality of the head|Abnormality of the eye"
"FBXW4","SPLIT-HAND/FOOT MALFORMATION 3"
"FBXW7","Malignant neoplasm of breast|Malignant neoplasm of endometrium|Colorectal Carcinoma|Adenoid Cystic Carcinoma|Endometrial Neoplasms|Glioma|Acute lymphocytic leukemia|Childhood Acute Lymphoblastic Leukemia|mixed gliomas|Squamous cell carcinoma of esophagus|Carcinoma in situ of endometrium|Endometrial Carcinoma|Malignant Glioma|Breast Carcinoma|Adult Acute Lymphocytic Leukemia|Genomic Instability|Mammary Neoplasms, Human|Adenocarcinoma of large intestine|Pigmented Basal Cell Carcinoma|Mammary Neoplasms|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Mammary Carcinoma, Human|Carcinoma, Basal Cell"
"FBXW8","Malignant neoplasm of urinary bladder|Bladder Neoplasm"
"FCER1A","Drug Eruptions|Drug Allergy|Urticaria|Morbilliform Drug Reaction"
"FCER1G","Drug Allergy|Liver Cirrhosis, Experimental"
"FCER2","Encephalitis|HIV Infections|Immediate hypersensitivity|Parkinson Disease|Rasmussen Syndrome|HIV Coinfection"
"FCGBP","Malignant neoplasm of stomach|Stomach Neoplasms|Hereditary Diffuse Gastric Cancer"
"FCGR1A","Calcinosis|Heart valve disease|Liver Cirrhosis, Experimental|Juvenile-Onset Still Disease|Tumoral calcinosis|Microcalcification|Juvenile arthritis|Juvenile psoriatic arthritis|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"FCGR2A","Rheumatoid Arthritis|Ulcerative Colitis|Cystic Fibrosis|Lupus Erythematosus, Systemic|Malaria|Mucocutaneous Lymph Node Syndrome|Thrombocytopenia|Thrombosis|Sicca Syndrome|Thrombus|Libman-Sacks Disease|Pulmonary Cystic Fibrosis|Sjogren's Syndrome|Fibrocystic Disease of Pancreas"
"FCGR2B","Autoimmune Diseases|Lupus Erythematosus, Systemic|Malaria|Neutropenia|Libman-Sacks Disease"
"FCGR2C","Immune thrombocytopenic purpura"
"FCGR3A","Celiac Disease|Liver Cirrhosis, Experimental|Lupus Vasculitis, Central Nervous System|Lupus Meningoencephalitis|Neuropsychiatric Systemic Lupus Erythematosus|IMMUNODEFICIENCY 20"
"FCGR3B","Hyperglycemia|Hyperinsulinism|Lupus Erythematosus, Systemic|Lupus Nephritis|Obesity|Dermatitis, Allergic Contact|Lupus Vasculitis, Central Nervous System|Lupus Meningoencephalitis|Neuropsychiatric Systemic Lupus Erythematosus|Endogenous Hyperinsulinism|Exogenous Hyperinsulinism|Compensatory Hyperinsulinemia|Hyperglycemia, Postprandial|Granulomatosis with polyangiitis"
"FCHSD2","Juvenile-Onset Still Disease|Juvenile arthritis|Juvenile psoriatic arthritis|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"FCMR","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"FCN1","Colorectal Carcinoma|Liver Cirrhosis, Experimental"
"FCN2","Colorectal Carcinoma|Malignant mesothelioma|Liver carcinoma"
"FCN3","Antibody Deficiency Syndrome|Immunologic Deficiency Syndromes|Complement deficiency disease|Liver carcinoma|FICOLIN 3 DEFICIENCY"
"FCRL3","Malignant neoplasm of breast|Graves Disease|Autoimmune thyroiditis"
"FCRL5","Malignant neoplasm of breast"
"FCSK","Seizures|Feeding difficulties|Congenital Disorders of Glycosylation|Global developmental delay|Generalized hypotonia|Intellectual Disability|Abnormality of vision"
"FDFT1","Cannabis Abuse|Cannabis Dependence|Cocaine Abuse|Hashish Abuse|Marijuana Abuse|Phencyclidine Abuse|Seizures|Skin Abnormalities|Visual Cortex Disorder|Cannabis-Related Disorder|Cocaine-Related Disorders|Phencyclidine-Related Disorders|Cocaine Dependence|Liver carcinoma|Profound global developmental delay|Intellectual Disability|Abnormality of nervous system morphology|Abnormality of the face|Cortical visual impairment"
"FDPS","Porokeratosis, Disseminated Superficial Actinic|POROKERATOSIS 9, MULTIPLE TYPES"
"FDX2","Megaconial Myopathies|Pleoconial Myopathies|Mitochondrial Myopathies|Luft Disease"
"FDXR","AUDITORY NEUROPATHY AND OPTIC ATROPHY"
"FECH","Bile Duct Diseases|Fibrosis|Erythropoietic Protoporphyria|Ferrochelatase deficiency|Cirrhosis|PROTOPORPHYRIA, ERYTHROPOIETIC, 1"
"FEM1C","Malignant neoplasm of breast"
"FEN1","Colorectal Carcinoma|Colorectal Neoplasms|Lung Neoplasms|Malignant neoplasm of lung"
"FER","Small cell carcinoma of lung|Endometrioid carcinoma ovary"
"FERD3L","Colorectal Carcinoma"
"FERMT1","Poikiloderma of Kindler"
"FERMT2","Malignant neoplasm of urinary bladder|Bladder Neoplasm|Angle Closure Glaucoma"
"FERMT3","Blood Platelet Disorders|Hemorrhage|Osteopetrosis|Leukocyte adhesion deficiency type 1|Leukocyte Adhesion Deficiency, Type III|Osteopetrosis Autosomal Dominant Type 2|Congenital Osteopetrosis"
"FETUB","Spontaneous abortion|Abortion, Tubal|Early Pregnancy Loss|Miscarriage"
"FEV","Mental Depression|Depressive disorder|Sudden infant death syndrome|Myocardial Ischemia|Mood Disorders|Autism Spectrum Disorders"
"FEZ1","Psychotic Disorders|Schizophrenia"
"FEZ2","Weight Gain|Myocardial Ischemia"
"FEZF1","Kallmann Syndrome|Idiopathic hypogonadotropic hypogonadism|HYPOGONADOTROPIC HYPOGONADISM 22 WITH OR WITHOUT ANOSMIA"
"FFAR4","BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 10"
