"marker_symbol","impc_significant_parameter_name","gene_id"
"Bag2","Fasted blood glucose concentration","213539"
"Bag3","Urea (Blood Urea Nitrogen - BUN)|Lean/Body weight|Viability Outcome","29810"
"Bahd1","DN NKT cells|Lymphocyte cell count|Number of center entries|White blood cell count|HDL-cholesterol|Right total retinal thickness|Response amplitude - S|Total cholesterol","228536"
"Baiap2","Phosphorus|Edema|Testes|Insulin|Platelet count|Viability Outcome|Alanine aminotransferase","108100"
"Baiap2l1","Tibia length","66898"
"Baiap2l2","12kHz-evoked ABR Threshold|% Pre-pulse inhibition - PPI4|Right anterior chamber depth|6kHz-evoked ABR Threshold|Response amplitude - S|30kHz-evoked ABR Threshold|24kHz-evoked ABR Threshold|Forelimb and hindlimb grip strength measurement mean|Startle response|18kHz-evoked ABR Threshold|Gait|% Pre-pulse inhibition - Global|Forelimb and hindlimb grip strength normalised against body weight","207495"
"Bambi","Testes|Uterus","68010"
"Banp","BMC/Body weight|Viability Outcome|Outcome","53325"
"Bap1","24kHz-evoked ABR Threshold|Alkaline phosphatase|Vocalization|Vibrissae size|Viability Outcome","104416"
"Barhl1","Urea (Blood Urea Nitrogen - BUN)","54422"
"Barx2","Lung - MPATH process term|Corneal opacity|Tail - morphology|Eye with optic nerve - MPATH process term|Narrow eye opening|Cornea|Eyelid morphology|Eyelid closure|Shape of vertebrae|Gait|Vibrissae - presence|Corneal vascularization|Eye with optic nerve|Viability Outcome|Eye with optic nerve - MPATH diagnostic term|Coat - color - abdomen","12023"
"Batf3","Triglycerides|Glycerol|Magnesium","381319"
"Baz1a","Testis - MPATH pathological process term|Mean corpuscular hemoglobin|Hematocrit|Gross Findings Male|Mean platelet volume|Stomach|Epididymis - MPATH pathological process term|Mean cell hemoglobin concentration|Forelimb grip strength normalised against body weight|Locomotor activity","217578"
"Baz2a","Testis - MPATH pathological process term|Sodium|Fasted blood glucose concentration|Epididymis|Red blood cell distribution width|Testes|Prostate gland - MPATH pathological process term|Skin|Spleen|Hemoglobin|Mammary gland - MPATH pathological process term|Glucose|Epididymis - MPATH pathological process term|Kidney","116848"
"Baz2b","Lean mass|Body length|Glucose|Bone Mineral Density (excluding skull)|Bone Mineral Content (excluding skull)|Fat mass|Ventral coat/hair colour|Mean corpuscular hemoglobin|LDL-cholesterol|Fasted blood glucose concentration|Ventral coat/hair colour pattern|Alkaline phosphatase","407823"
"Bbc3","Hemoglobin|Mean corpuscular hemoglobin|Mean cell volume|Whole arena average speed|Mean cell hemoglobin concentration","170770"
"Bbip1","Shape of spine|Digit integrity|Kyphosis|Spontaneous movement|Pancreas|Skin|Respiratory Exchange Ratio","100503572"
"Bbof1","Lymphocyte differential count|Gross Findings Male|Gross Findings Female","72873"
"Bbox1","Craniofacial morphology|Responsive to tactile stimuli|Locomotor activity|Gross Findings Male|RR|Heart|Sleep bout lengths standard deviation|Heart weight|HR|Forebrain morphology|Neural Tube Closure|Midbrain morphology|% Pre-pulse inhibition - PPI1|Creatinine|Hindbrain morphology","170442"
"Bbs1","Edema|Blood Vessel Morphology|Spleen weight|Heart|Placenta Vasculature|Viability Outcome|Placenta Morphology|Latency to first transition into dark|Eye with optic nerve|QRS","52028"
"Bbs10","Viability Outcome|Sodium","71769"
"Bbs2","Alkaline phosphatase|Bone Mineral Density (excluding skull)|Alpha-amylase|Alanine aminotransferase","67378"
"Bbs4","Glucose|Viability Outcome|Dark side time spent|Light side time spent|Fasted blood glucose concentration","102774"
"Bbs5","Monocyte cell count|Lean mass|BMC/Body weight|Basophil cell count|PR|Aspartate aminotransferase|Fat/Body weight|Stroke Volume|Number of center entries|Bone Mineral Content (excluding skull)|Fat mass|Bone Area|Lean/Body weight|Fasted blood glucose concentration|End-Diastolic Diameter|Hematocrit|LVIDd|Tremor|Tibia length|Percentage center movement time|Fructosamine|Bone Mineral Density (excluding skull)|Retina (combined)|Forelimb and hindlimb grip strength measurement mean|Spleen weight|Heart weight|Alanine aminotransferase|Forelimb grip strength normalised against body weight|Area under glucose response curve|Respiratory Exchange Ratio|Lymphocyte cell count|White blood cell count|Hemoglobin|Platelet count|Forelimb grip strength measurement mean|Gait|Alkaline phosphatase|Glucose|Forelimb and hindlimb grip strength normalised against body weight","72569"
"Bbs7","Lens|% Pre-pulse inhibition - PPI4|Viability Outcome|Sodium","71492"
"BC048403","Phosphorus|Urea (Blood Urea Nitrogen - BUN)|HDL-cholesterol|Total cholesterol","270802"
"BC048562","Periphery average speed|Fasted blood glucose concentration|Periphery resting time|Periphery distance travelled|Whole arena resting time|Whole arena average speed|Distance travelled - total|Activity (body position)","434439"
"BC053393","Trunk curl|Viability Outcome","407814"
"BC055324","Viability Outcome|Pelvis","381306"
"Bcap29","Bone Mineral Density (excluding skull)|Body length|Bone Mineral Content (excluding skull)","12033"
"Bcar3","Kidney|Eye with optic nerve","29815"
"Bcas1","Lung|Total bilirubin","76960"
"Bccip","Respiratory Exchange Ratio|Alkaline phosphatase|Viability Outcome","66165"
"Bckdha","Seminal vesicle|Neutrophil cell count|Mean cell volume|Mean corpuscular hemoglobin|Number of rears - total","12039"
"Bckdhb","Viability Outcome","12040"
"Bcl11b","Viability Outcome|Fasted blood glucose concentration|Fat/Body weight|BMC/Body weight|Lean/Body weight|Bone Area|Lean mass|Facial Morphology|Fat mass|Bone Mineral Content (excluding skull)|Failure of Eyelid Fusion","58208"
"Bcl2l12","Spleen|BMC/Body weight|Liver|Periphery distance travelled|Hematocrit|Distance travelled - total|Periphery average speed|Whole arena average speed","75736"
"Bcl2l15","Liver|Response amplitude - S|Heart","229672"
"Bcl3","Platelet count|Lymphocyte differential count|Neutrophil differential count|Spleen weight|Snout size","12051"
"Bcl7a","LVPWs|Responsive to tactile stimuli|Embryo Size","77045"
"Bcl7b","Forelimb and hindlimb grip strength normalised against body weight","12054"
"Bcl7c","Body length","12055"
"Bclaf1","Viability Outcome|Lens|Cyanosis","72567"
"Bclaf3","Albumin","382252"
"Bcorl1","Teeth","320376"
"Bcs1l","Viability Outcome","66821"
"Bdkrb1","Forelimb grip strength normalised against body weight|Red blood cell distribution width|Forelimb grip strength measurement mean|Large Unstained Cell (LUC) count|Neutrophil differential count|Large Unstained Cell (LUC) differential count|Monocyte differential count|Basophil cell count","12061"
"Bdp1","Urinary bladder|Outcome|Spleen","544971"
"Bean1","Gait","65115"
"Becn1","CD4 CD25- NKT cells|CD4 NKT cells|Response amplitude - S|CD4 CD44+CD62L- NKT cells|Red blood cell distribution width|Bone Mineral Density (excluding skull)|Viability Outcome","56208"
"Begain","Chloride|Glucose|Total cholesterol|LDL-cholesterol|Alkaline phosphatase","380785"
"Bend3","Viability Outcome|Coat - color - abdomen|Coat - color - head|Coat - color - back","331623"
"Best2","Viability Outcome|Corneal deposits","212989"
"Bex2","Coat - color - abdomen|Periphery average speed|Distance travelled - total|Whole arena average speed|Periphery distance travelled|Coat - color - head|Mean right eye lens density|Max left eye lens density|Mean left eye lens density|Center average speed|Number of rears - total|White blood cell count|Coat - color - back","12069"
"Bex4","Creatinine|mA threshold inducing clonic seizure","19716"
"Bex4","Creatinine|mA threshold inducing clonic seizure","406217"
"Bex6","Mean cell hemoglobin concentration|Whole arena resting time|Periphery distance travelled|Distance travelled - total|Whole arena average speed|White blood cell count|Mean cell volume","328660"
"Bfsp1","Eye with optic nerve|Lymphocyte differential count|Whole arena resting time|Uterus|Response amplitude - S|Number of rears - total|Insulin","12075"
"Bgn","Iron|Body length","12111"
"Bhlha9","Brain","320522"
"Bhlhe40","HDL-cholesterol|Mean corpuscular hemoglobin|Fasted blood glucose concentration|Calcium|Area under glucose response curve|Bone Mineral Content (excluding skull)|mA threshold inducing clonic seizure|BMC/Body weight|Glycerol|Total cholesterol","20893"
"Bhmt","Femur - MPATH process term|Fat/Body weight|Lean mass|Fat mass|Femur - MPATH diagnostic term|Lean/Body weight|Urea (Blood Urea Nitrogen - BUN)|Forelimb and hindlimb grip strength normalised against body weight|Salivary gland - MPATH process term|Spleen weight","12116"
"Bicc1","Kidney|Edema|Viability Outcome|Spleen weight|Heart morphology|Embryo turning","83675"
"Bicd1","Spleen weight|Forelimb and hindlimb grip strength measurement mean|Response amplitude - S|Alanine aminotransferase|Click-evoked ABR threshold|Number of rears - total|Neutrophil cell count","12121"
"Bicdl1","Number of rears - total|Left inner nuclear layer|Spleen|Responsive to tactile stimuli|Tibia length","75665"
"Bicdl2","Kidney|Spleen|Latency to first transition into dark","212733"
"Bin2","Startle response|Mean platelet volume|Platelet count|Mean corpuscular hemoglobin","668218"
"Birc6","Heart|T cells (Panel A) - % of live leukocytes (Panel A)|Edema|Response amplitude - S|Glucose|Spontaneous movement|Treg cells - % of live leukocytes (Panel A)","12211"
"Birc7","Mean platelet volume","329581"
"Bivm","Respiratory Exchange Ratio|BMC/Body weight","246229"
"Blk","Total bilirubin|Testes","12124"
"Blk","Total bilirubin|Testes","12143"
"Blnk","Eosinophil differential count|Lymphocyte differential count|Spleen|Basophil cell count|Neutrophil differential count|Spleen weight|White blood cell count|Lymphocyte cell count","17060"
"Bloc1s2","Pale Liver|Hemorrhage|Placenta Size|Pericardium Morphology|Limb Bud Morphology|Craniofacial morphology|Edema|Free fatty acids|Viability Outcome","73689"
"Bloc1s6","Skin|Albumin|Heart|Eye with optic nerve|Lymph node|Spleen|Difference in Context and Conditioning Baseline % Freezing|Coat - color - head|Coat - color - back|Coat - color - abdomen|Red blood cell count","18457"
"Blvrb","30kHz-evoked ABR Threshold|24kHz-evoked ABR Threshold","233016"
"Bmerb1","Adrenal gland|Salivary gland|Aortic diameter (Dao)|Urinary bladder","67254"
"Bmi1","Embryo Size|Microphthalmia|Edema|Monocyte differential count|Fat mass|Anophthalmia|Area under glucose response curve|Lean mass|Viability Outcome","12151"
"Bmp10","Locomotor activity|Viability Outcome|% Pre-pulse inhibition - Global|HDL-cholesterol|Creatinine|Initial response to glucose challenge|Total cholesterol|Area under glucose response curve","12154"
"Bmp2k","Percentage center time|Time mobile light side|Lens|Center permanence time|Percent time in light|Periphery permanence time|Percent time in dark","140780"
"Bmp4","Outcome|Heart morphology|Hindbrain|Forebrain|Severely Dysmorphic|Embryo turning|Embryo Size|Midbrain|Delayed embryonic development|Neural tube closure|Microphthalmia|Retina (combined)|Optic Disc|Iris/Pupil|Allantois Morphology|Eyelid closure|Center resting time","12159"
"Bmp6","Mean corpuscular hemoglobin|Hemoglobin|Kyphosis|Mean cell hemoglobin concentration|Percentage center movement time|Digit integrity|Center resting time|Mean cell volume|Percentage center time|Center distance travelled|Weight|Shape of spine|Center permanence time|Periphery resting time|Periphery permanence time","12161"
"Bmpr1b","Gross Findings Female","12167"
"Bms1","Viability Outcome|Coat - color pattern - back|Coat - color pattern - abdomen|Coat - color - head|Coat - color - abdomen|Coat - color pattern - head|Lens|Sodium|Coat - color - back|Lens Opacity|Mean right eye lens density|Mean left eye lens density|Max left eye lens density","213895"
"Bmx","HR","12169"
"Bnc1","Testes|Coat - hair distribution - abdomen|Lymphocyte cell count|Coat - color pattern - head|Seminal vesicle|Spleen|Latency to center entry","12173"
"Bnc2","Right corneal thickness|Latency to center entry|% Pre-pulse inhibition - PPI3","242509"
"Bnip1","Viability Outcome","224630"
"Bnip2","Femur|Tibia|Insulin|Skull shape|Mean platelet volume|Mean corpuscular hemoglobin|Lean/Body weight|Calcium|Glycerol|Alkaline phosphatase|Phosphorus|Forelimb grip strength normalised against body weight|Triglycerides|Incisor colour|Red blood cell count|Fat/Body weight","12175"
"Bnip3","Insulin|Cue Baseline % Freezing Time|Area under glucose response curve|Center resting time|Eye with optic nerve","12176"
"Bnip5","Spleen|Insulin","207819"
"Boc","Bone Mineral Content (excluding skull)|Total protein|Potassium|Albumin|Triglycerides|Phosphorus","117606"
"Bod1","Viability Outcome|24kHz-evoked ABR Threshold","69556"
"Bok","Center distance travelled|Mean corpuscular hemoglobin|Percentage center time|Periphery permanence time|Center permanence time|White blood cell count","51800"
"Bola1","Number of rears - total|Whole arena resting time|Periphery distance travelled|Whole arena average speed|Distance travelled - total|Center distance travelled|Periphery average speed","69168"
"Bola2","Coat - color - head|Mean cell volume|Coat - color - abdomen|Iron","66162"
"Borcs6","Fat/Body weight|Outcome|Fat mass|Viability Outcome","71923"
"Bphl","Lean/Body weight|Lean mass","68021"
"Bpi","Lean/Body weight|Whole arena resting time","18830"
"Bpi","Lean/Body weight|Whole arena resting time","329547"
"Bpifa2","Number of rears - total|Epididymis","19194"
"Bpifa3","Viability Outcome","73388"
"Bpifb1","Uterus|Forelimb grip strength normalised against body weight|Lens","228801"
"Bpifb5","Forelimb and hindlimb grip strength measurement mean","228802"
"Bpifc","Area under glucose response curve","270757"
"Bptf","Body length|Fusion of vertebrae|Bone Area","207165"
"Brap","Edema|Delayed embryonic development|Hemorrhage|Neural tube morphology|Lymph node|Viability Outcome|Neural tube closure|Center resting time","72399"
"Brcc3","Mean cell volume|Red blood cell distribution width|Mean corpuscular hemoglobin|Platelet count|Mean platelet volume","210766"
"Brd2","Red blood cell count|Calcium|Cervical processes|HDL-cholesterol|Creatinine|Viability Outcome|Mean corpuscular hemoglobin|Alpha-amylase|30kHz-evoked ABR Threshold","14312"
"Brd4","Left total retinal thickness|Retinal Blood Vessels Structure|Right total retinal thickness|Skull shape|Left outer nuclear layer|Left inner nuclear layer|Outcome|QRS|Right inner nuclear layer|Tibia length|Right outer nuclear layer","57261"
"Brd8","Viability Outcome","78656"
"Brd9","Seminal vesicle|Adrenal gland|BMC/Body weight|Lens Opacity|Urinary bladder|Uterus|Fat/Body weight|Skin","105246"
"Bri3","HR|Corneal opacity","55950"
"Brip1","Lens Opacity","237911"
"Brms1","Viability Outcome|Sodium","107392"
"Brms1l","Aggression|Center permanence time|Percentage center time|Periphery permanence time","52592"
"Brwd1","Skin|Spleen|Gross Findings Male|Gross Findings Female|Seminal vesicle|Testes|Spleen weight","93871"
"Bscl2","Fat/Body weight|Phosphorus|Monocyte cell count|Left total retinal thickness|Lean/Body weight|Urea (Blood Urea Nitrogen - BUN)|BMC/Body weight|Tibia length|Red blood cell count|Total protein|Cholesterol ratio|Mean platelet volume|Mean corpuscular hemoglobin|Left corneal thickness|% Pre-pulse inhibition - PPI4|Initial response to glucose challenge|Alkaline phosphatase|Lean mass|Albumin|Fat mass|White blood cell count|Gait|Body length|Calcium|Respiratory Exchange Ratio|Bone Mineral Content (excluding skull)|Number of rears - total|Mean cell volume|Total water intake|Eosinophil differential count|Triglycerides|Right corneal thickness|Bone Area","14705"
"Bsdc1","Center average speed|LVPWs","100383"
"Bsph2","Alpha-amylase","77684"
"Bst2","Kidney|Liver|Skin","69550"
"Btbd1","Kidney|Total protein|Neutrophil cell count","83962"
"Btbd16","Response amplitude - S|Skin color - tail|Triglycerides|Spleen|Center distance travelled|Fat/Body weight|Total protein|Fat mass","330660"
"Btbd17","Spleen|Pancreas|Uterus|Ovary|Epididymis|Kidney|Thymus","72014"
"Btbd2","Lymph node|Limb grasp|Bone Mineral Content (excluding skull)|Bone Mineral Density (excluding skull)|Cue Baseline % Freezing Time|Area under glucose response curve|Liver","208198"
"Btbd3","Thyroid|Shape of vertebrae|Thoracic processes|Processes on vertebrae|Weight","228662"
"Btbd8","Heart|Skin|Chloride|12kHz-evoked ABR Threshold|Seminal vesicle","100503185"
"Btbd9","Body length|Total cholesterol|HDL-cholesterol|Forelimb and hindlimb grip strength normalised against body weight|Forelimb and hindlimb grip strength measurement mean|PQ","224671"
"Btc","Area under glucose response curve|Lymph node","12223"
"Btg1","Kidney|Ovary|Uterus|Skin|Mean corpuscular hemoglobin|Heart weight|Mean cell volume|Lymphocyte differential count|Spleen|Red blood cell count","12226"
"Btg2","Mean corpuscular hemoglobin|Mean cell volume|Whole arena resting time|Fasted blood glucose concentration","12227"
"Btn2a2","Fasted blood glucose concentration|Glucose|Calcium|Albumin","238555"
"Btnl1","Urea (Blood Urea Nitrogen - BUN)|Number of rears - total","100038862"
"Btnl4","Spleen|Response amplitude - S|Lymph node|Lean/Body weight|Skin","632126"
"Btrc","Forelimb and hindlimb grip strength normalised against body weight|Mean cell volume","12234"
"Bub1","Outcome|Response amplitude - S","12235"
"Bud23","Viability Outcome|Glucose|Outcome|Lean/Body weight","66138"
"Bves","Area under glucose response curve|Lean/Body weight|BMC/Body weight|Vocalization|Skin|Forelimb and hindlimb grip strength normalised against body weight","23828"
"Bysl","Heart|Skin|Outcome","53414"
"Bzw1","Whole arena resting time|Gross Findings Male|Distance travelled - total|Whole arena average speed|Periphery average speed|Lens Opacity|30kHz-evoked ABR Threshold|Periphery distance travelled","66882"
"Bzw2","Lean mass|Glucose|rMSSD|HDL cholesterol|HR|Light sleep bout lengths mean|CV|Lean/Body weight|Fat mass|Sleep daily percent|RR|Total holepokes|Total cholesterol|Time immobile|Iron","66912"
"C1galt1","Viability Outcome","94192"
"C1qa","Chloride|Glucose","12259"
"C1qb","Total protein|Initial response to glucose challenge","12260"
"C1qc","Startle response|% Pre-pulse inhibition - PPI3|Hindpaw - size|Total protein|Forelimb and hindlimb grip strength measurement mean","12262"
"C1ql2","Spleen|Kidney|Gross Findings Female","226359"
"C1qtnf1","Spleen|Forelimb and hindlimb grip strength measurement mean|Lymph node|Skin|Forelimb and hindlimb grip strength normalised against body weight|Triglycerides|Large intestine|Conditioning Baseline % Freezing Time|Kidney|Eye with optic nerve|Liver|Ovary|Startle response|Total holepokes|Total cholesterol","56745"
"C1qtnf12","Seminal vesicle|Eye with optic nerve|Hematocrit|Red blood cell count|Hemoglobin","67389"
"C1qtnf2","PQ|% Pre-pulse inhibition - PPI4","69183"
"C1qtnf5","Retina (combined)|Fasted blood glucose concentration|Response amplitude - S","235312"
"C1ra","Trachea","50909"
"C1rl","Urea (Blood Urea Nitrogen - BUN)|Lean mass|Joints|Pelvis|Tibia","232371"
"C2cd2l","30kHz-evoked ABR Threshold|Response amplitude - S|% Pre-pulse inhibition - PPI3|Number of center entries|12kHz-evoked ABR Threshold","71764"
"C2cd3","Delayed embryonic development|Embryo Size|Forelimb grip strength normalised against body weight|Outcome","277939"
"C2cd4a","Mean platelet volume|Lymphocyte differential count|Neutrophil cell count","244911"
"C2cd4b","Triglycerides|Glycerol|Total bilirubin|Total cholesterol|Albumin|Lean/Body weight|HDL-cholesterol|LDL-cholesterol|Free fatty acids|Fat/Body weight|Insulin","75697"
"C3","Learning difference|Locomotor activity|Triglycerides|Glucose","12266"
"C3","Learning difference|Locomotor activity|Triglycerides|Glucose","12267"
"C3","Learning difference|Locomotor activity|Triglycerides|Glucose","18347"
"C3","Learning difference|Locomotor activity|Triglycerides|Glucose","111371"
"C3ar1","Kidney|Forelimb and hindlimb grip strength normalised against body weight","12267"
"C4b","Initial response to glucose challenge|Alkaline phosphatase","12268"
"C4b","Initial response to glucose challenge|Alkaline phosphatase","625018"
"C4bp","Total cholesterol|Triglycerides|HDL-cholesterol","12269"
"C7","Time mobile light side|HRV|Center average speed|Whole arena average speed|Distance travelled - total|rMSSD|Periphery average speed|Lens|Periphery distance travelled|Center distance travelled|CV|Whole arena resting time","15945"
"C7","Time mobile light side|HRV|Center average speed|Whole arena average speed|Distance travelled - total|rMSSD|Periphery average speed|Lens|Periphery distance travelled|Center distance travelled|CV|Whole arena resting time","109828"
"C7","Time mobile light side|HRV|Center average speed|Whole arena average speed|Distance travelled - total|rMSSD|Periphery average speed|Lens|Periphery distance travelled|Center distance travelled|CV|Whole arena resting time","170719"
"C8a","Monocyte cell count|Lymphocyte cell count|Bone Mineral Density (excluding skull)|Hemoglobin|Neutrophil differential count|White blood cell count","230558"
"C8b","Red blood cell distribution width|Bone Mineral Content (excluding skull)","110382"
"C8g","Glucose","69379"
"C9","% Pre-pulse inhibition - PPI4|Sodium|% Pre-pulse inhibition - PPI2|HRV|rMSSD|HR|% Pre-pulse inhibition - PPI3|RR|CV","12279"
"C9","% Pre-pulse inhibition - PPI4|Sodium|% Pre-pulse inhibition - PPI2|HRV|rMSSD|HR|% Pre-pulse inhibition - PPI3|RR|CV","14794"
"C9","% Pre-pulse inhibition - PPI4|Sodium|% Pre-pulse inhibition - PPI2|HRV|rMSSD|HR|% Pre-pulse inhibition - PPI3|RR|CV","26441"
"C9orf72","Lean mass|Fat/Body weight|Lean/Body weight|Lymph node - MPATH process term|Small intestine - MPATH process term|Spleen|Bone marrow - MPATH diagnostic term|Stomach - MPATH diagnostic term|Large intestine - MPATH process term|Thymus - MPATH diagnostic term|Stomach - MPATH process term|Spleen - MPATH process term|Small intestine - MPATH diagnostic term|Spleen weight|Alkaline phosphatase|Area under glucose response curve|Triglycerides|Lymph node|Testes|Response amplitude - S|Fat mass","73205"
"Cab39l","Mean cell volume|Heart","69008"
"Cabcoco1","Uterus|Heart|Gross Findings Male","73287"
"Cabp1","Center resting time|Fasted blood glucose concentration|Fat mass|Lean mass|Coat - hair texture / appearance - back|Spleen weight|Albumin|Neutrophil differential count|Periphery distance travelled|Neutrophil cell count|Lymphocyte differential count|Fat/Body weight|Click-evoked ABR threshold|Periphery average speed","29867"
"Cabp2","Forelimb grip strength normalised against body weight|Vocalization|Coat - color - abdomen|24kHz-evoked ABR Threshold|18kHz-evoked ABR Threshold|30kHz-evoked ABR Threshold|12kHz-evoked ABR Threshold|6kHz-evoked ABR Threshold","29866"
"Cabp4","% Pre-pulse inhibition - PPI3|% Pre-pulse inhibition - PPI2|Brain|Heart|% Pre-pulse inhibition - Global|Insulin|Eye with optic nerve","73660"
"Cabp5","Lower teeth appearance|% Pre-pulse inhibition - PPI1","29865"
"Cachd1","Forelimb grip strength normalised against body weight|Viability Outcome|Forelimb grip strength measurement mean","320508"
"Cacna1a","Viability Outcome","12286"
"Cacna1b","Whole arena average speed|Periphery average speed|Whole arena resting time|Periphery permanence time|Percentage center movement time|Periphery resting time|Activity (body position)|Forelimb grip strength normalised against body weight|Forelimb grip strength measurement mean|Gait|Forelimb and hindlimb grip strength measurement mean|Center average speed|Unexpected behaviors|Forelimb and hindlimb grip strength normalised against body weight|Distance travelled - total","12287"
"Cacna1c","Heart weight|Liver|Spleen|Neutrophil differential count|Placenta Morphology|Kidney|Center resting time|Viability Outcome","12288"
"Cacna1f","Eye with optic nerve|Heart|Bone Area|PR|Basophil cell count","54652"
"Cacna1g","Difference in Conditioning Post-shock and Conditioning Baseline % Freezing","12291"
"Cacna1i","Liver|Heart|Chloride|Pancreas|Bone Mineral Density (excluding skull)|Spleen","239556"
"Cacna1s","Hemorrhage|Edema|Placenta Vasculature|Cyanosis|Viability Outcome|Responsive to tactile stimuli|Respiratory System|Embryo Size|Facial Morphology|Glucose","12292"
"Cacna2d1","Percent time in dark|Percent time in light|% Pre-pulse inhibition - PPI3|Initial response to glucose challenge|Response amplitude - S|Spleen|Area under glucose response curve|Number of rears - total|Locomotor activity|Alkaline phosphatase","12293"
"Cacna2d3","Glucose|Sodium","12294"
"Cacna2d4","Distance travelled - total|Retinal Blood Vessels Structure|Retina (combined)|Periphery distance travelled|Periphery average speed|Whole arena average speed|Whole arena resting time|Fecal boli","319734"
"Cacnb2","Heart|Urinary bladder|Area under glucose response curve|Initial response to glucose challenge","12296"
"Cacnb3","BMC/Body weight|Bone Area","12297"
"Cacng5","Activity (body position)","140723"
"Cacng6","Bone Mineral Density (excluding skull)|Lean mass|Fat mass","54378"
"Cacybp","Number of rears - total|Total protein|Albumin","12301"
"Cad","Viability Outcome|% Pre-pulse inhibition - PPI3|Limb grasp|% Pre-pulse inhibition - PPI2","69719"
"Cad","Viability Outcome|% Pre-pulse inhibition - PPI3|Limb grasp|% Pre-pulse inhibition - PPI2","104146"
"Cadm1","Testes - MPATH process term","54725"
"Cadps2","Lymph node|Eosinophil differential count|Pancreas|Salivary gland|Small intestine|Body weight|Eosinophil cell count|Mean corpuscular hemoglobin|Triglycerides|Whole liver weight|Alanine aminotransferase|Fat/Body weight","320405"
"Calb1","Heart|Thymus|LVIDs|Spleen|End-Diastolic Diameter|Fractional Shortening|Testes|Shape of vertebrae|LVAWs|Mean corpuscular hemoglobin|Thoracic processes|Time mobile light side|Processes on vertebrae|Ejection Fraction|LVIDd|Uterus|End-Systolic Diameter","12307"
"Calcb","Heart|Spinal cord|Insulin|Epididymis|Kidney|Pancreas","116903"
"Calcoco1","Kidney|Activity (body position)|Startle response|Urinary bladder|Retina (combined)","67488"
"Calcoco2","Hemoglobin|Pelvis","76815"
"Calcr","Alkaline phosphatase|Whole liver weight|Eosinophil differential count|Calcium","12311"
"Calhm1","Heart|Fasted blood glucose concentration|Insulin","546729"
"Calhm2","Pancreas|Persistence of hyaloid vascular system","72691"
"Calu","Abdominal wall|Delayed embryonic development|Embryo Size|Hindbrain morphology|Midbrain morphology|Craniofacial morphology","12321"
"Camk1","% Pre-pulse inhibition - PPI2|% Pre-pulse inhibition - PPI3|Fat mass|Fasted blood glucose concentration|Chloride|Tremor|Lean mass|Fat/Body weight|% Pre-pulse inhibition - PPI1|Alanine aminotransferase","52163"
"Camk1","% Pre-pulse inhibition - PPI2|% Pre-pulse inhibition - PPI3|Fat mass|Fasted blood glucose concentration|Chloride|Tremor|Lean mass|Fat/Body weight|% Pre-pulse inhibition - PPI1|Alanine aminotransferase","93843"
"Camk1d","Cue Baseline % Freezing Time|Total cholesterol|Spleen|Lean mass|Locomotor activity|Bone Mineral Density (excluding skull)|Pancreas|Eye with optic nerve|Fat mass|Body weight|Fasted blood glucose concentration|Urea (Blood Urea Nitrogen - BUN)|Liver|Center resting time|Heart weight","227541"
"Camk2b","Percentage center movement time|% Pre-pulse inhibition - PPI2|Area under glucose response curve|Periphery resting time|Lean/Body weight|BMC/Body weight|% Pre-pulse inhibition - Global|% Pre-pulse inhibition - PPI1|Fat mass|Lean mass|Number of rears - total|Periphery permanence time|Fat/Body weight|Periphery distance travelled","12323"
"Camk4","Spleen|Heart|Thymus|Spleen weight|Upper teeth appearance|Digit integrity|Testes","12326"
"Camkmt","Sodium|Total protein|Urea (Blood Urea Nitrogen - BUN)|Alkaline phosphatase|Albumin|Fructosamine|Creatinine|Mean platelet volume|Bone Area|Lean/Body weight|BMC/Body weight|Fat/Body weight","73582"
"Camkv","Uterus|Large intestine|Locomotor activity","235604"
"Camsap3","Startle response|18kHz-evoked ABR Threshold|Bone Mineral Density (excluding skull)|Fat mass|BMC/Body weight|Urea (Blood Urea Nitrogen - BUN)|Gross Findings Male|Body length|Total cholesterol|Respiratory Exchange Ratio|Mean platelet volume|Lens Opacity|Lens|Gross Findings Female|Corneal opacity|Glucose|Bone Mineral Content (excluding skull)|Viability Outcome|Lean mass|Fusion between cornea and lens|Trunk curl|Hemoglobin|6kHz-evoked ABR Threshold|Click-evoked ABR threshold|24kHz-evoked ABR Threshold|Cornea|Insulin|Alkaline phosphatase|Bone Area|12kHz-evoked ABR Threshold","69697"
"Camta2","Viability Outcome","216874"
"Cand1","Heart|Spleen|Ovary|Uterus|Seminal vesicle|Placenta Morphology|Delayed embryonic development|Edema|Total bilirubin|HR|Craniofacial morphology|Lymph node|Microphthalmia|Kidney|Viability Outcome|Fasted blood glucose concentration|Gall bladder|Skin","71902"
"Cand2","Fat/Body weight|Lean/Body weight|Bone Mineral Density (excluding skull)|Bone Mineral Content (excluding skull)|Total cholesterol|Lean mass|BMC/Body weight|Fasted blood glucose concentration|Fat mass","67088"
"Cant1","Retinal Blood Vessels|Max left eye lens density|Mean left eye lens density|Min left eye lens density|Mean right eye lens density|Tail - thickness|Tail - length|Optic Disc","76025"
"Cap2","Lipase|Viability Outcome|Total bilirubin|Albumin","67252"
"Capn10","% Freezing duration pre-cue-1|Tibia length|Platelet count|% Pre-pulse inhibition - PPI4","23830"
"Capn11","Thyroxine|Area under glucose response curve","268958"
