"marker_symbol","impc_significant_procedure_name","gene_id"
"Ccdc28a","Electrocardiogram (ECG)|Open Field - centre start|Light-Dark Test|Fertility of Homozygous Knock-out Mice|Eye Morphology","215814"
"Ccdc30","Electrocardiogram (ECG)","73332"
"Ccdc33","X-ray|Organ Weight","382077"
"Ccdc34","Fertility of Homozygous Knock-out Mice","68201"
"Ccdc39","Clinical Chemistry|Viability Primary Screen|Body Composition (DEXA lean/fat)","51938"
"Ccdc50","Hematology|Intraperitoneal glucose tolerance test (IPGTT)","67501"
"Ccdc51","Intraperitoneal glucose tolerance test (IPGTT)","66658"
"Ccdc59","Viability E9.5 Secondary Screen|Viability Primary Screen","52713"
"Ccdc6","Clinical Chemistry|Viability Primary Screen","76551"
"Ccdc65","Gross Pathology and Tissue Collection|Viability Primary Screen|Insulin Blood Level","105833"
"Ccdc69","Hematology|Indirect Calorimetry|Body Composition (DEXA lean/fat)","52570"
"Ccdc77","Histopathology|Clinical Chemistry","67200"
"Ccdc8","Grip Strength|Body Composition (DEXA lean/fat)","434130"
"Ccdc83","Hematology|Eye Morphology|Echo|Clinical Chemistry","75338"
"Ccdc85a","Body Composition (DEXA lean/fat)|Grip Strength","216613"
"Ccdc85b","Light-Dark Test","240514"
"Ccdc88b","Hematology|Organ Weight|Intraperitoneal glucose tolerance test (IPGTT)|Gross Pathology and Tissue Collection","78317"
"Ccdc88c","Auditory Brain Stem Response|Gross Pathology and Tissue Collection","68339"
"Ccdc92","Body Composition (DEXA lean/fat)|Auditory Brain Stem Response|Grip Strength|Hematology|Insulin Blood Level|Organ Weight|Clinical Chemistry|Viability Primary Screen|Gross Pathology and Tissue Collection","215707"
"Ccdc9b","Acoustic Startle and Pre-pulse Inhibition (PPI)|Combined SHIRPA and Dysmorphology","214239"
"Cchcr1","Open Field - centre start|Body Composition (DEXA lean/fat)","240084"
"Cck","Gross Pathology and Tissue Collection","12424"
"Cckar","Gross Pathology and Tissue Collection","12425"
"Cckbr","Combined SHIRPA and Dysmorphology|Hematology","12426"
"Ccl20","Clinical Chemistry","20297"
"Ccl22","Viability Primary Screen","20299"
"Ccl25","Gross Pathology and Tissue Collection|Intraperitoneal glucose tolerance test (IPGTT)","20300"
"Ccl26","Intraperitoneal glucose tolerance test (IPGTT)|Light-Dark Test|Acoustic Startle and Pre-pulse Inhibition (PPI)|Insulin Blood Level","541307"
"Ccl27a","Clinical Chemistry","20301"
"Ccl28","Gross Pathology and Tissue Collection|Grip Strength","56838"
"Ccl3","Body Composition (DEXA lean/fat)","20302"
"Ccl9","Clinical Chemistry|Gross Pathology and Tissue Collection|Insulin Blood Level","20308"
"Ccn3","Gross Pathology and Tissue Collection","18133"
"Ccn5","Auditory Brain Stem Response","22403"
"Ccnb1","Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology|Viability Primary Screen|Viability E9.5 Secondary Screen","268697"
"Ccnb1ip1","Histopathology|Open Field|Gross Pathology and Tissue Collection|Fertility of Homozygous Knock-out Mice","239083"
"Ccnd2","Body Composition (DEXA lean/fat)|Organ Weight|Hematology|Intraperitoneal glucose tolerance test (IPGTT)|X-ray|Combined SHIRPA and Dysmorphology|Grip Strength|Clinical Chemistry|Gross Pathology and Tissue Collection|Open Field","12444"
"Ccno","Gross Pathology and Tissue Collection","218630"
"Ccnq","Viability Primary Screen|Gross Morphology Embryo E9.5|Viability E9.5 Secondary Screen|Viability E12.5 Secondary Screen","69109"
"Ccnt1","Viability Primary Screen","12455"
"Ccnt2","Gross Morphology Embryo E18.5|Eye Morphology|Fertility of Homozygous Knock-out Mice|Combined SHIRPA and Dysmorphology","72949"
"Ccpg1","Gross Pathology and Tissue Collection|Clinical Chemistry","72278"
"Ccpg1os","Acoustic Startle and Pre-pulse Inhibition (PPI)","546143"
"Ccr2","Hematology|Gross Pathology and Tissue Collection","12772"
"Ccr6","Gross Pathology and Tissue Collection|Electrocardiogram (ECG)","12458"
"Ccr8","Acoustic Startle and Pre-pulse Inhibition (PPI)|Fear Conditioning|Gross Pathology and Tissue Collection","12776"
"Ccr9","Body Composition (DEXA lean/fat)","12769"
"Ccsap","Open Field - centre start","73420"
"Cct3","Eye Morphology|Combined SHIRPA and Dysmorphology|Viability E9.5 Secondary Screen|Open Field","12462"
"Cct5","Gross Morphology Embryo E9.5|Viability E9.5 Secondary Screen","12465"
"Cct7","Viability Primary Screen|Viability E9.5 Secondary Screen","12468"
"Cd160","Hematology|Clinical Chemistry","54215"
"Cd163","Intraperitoneal glucose tolerance test (IPGTT)","93671"
"Cd19","Hematology|Eye Morphology|Clinical Chemistry","12478"
"Cd200r4","Organ Weight|Gross Pathology and Tissue Collection","239849"
"Cd209e","Clinical Chemistry|Hematology","170780"
"Cd22","Hematology|Gross Pathology and Tissue Collection|Open Field","12483"
"Cd226","Clinical Chemistry|Hematology","225825"
"Cd248","Gross Pathology and Tissue Collection|Organ Weight","70445"
"Cd276","Open Field","102657"
"Cd2ap","Grip Strength","12488"
"Cd300a","Eye Morphology|Open Field|Hematology|Combined SHIRPA and Dysmorphology","217303"
"Cd300c","Body Composition (DEXA lean/fat)|Insulin Blood Level|Hematology","140497"
"Cd300c","Body Composition (DEXA lean/fat)|Insulin Blood Level|Hematology","387565"
"Cd300e","Gross Pathology and Tissue Collection|Clinical Chemistry","217306"
"Cd300ld2","Body Composition (DEXA lean/fat)|Clinical Chemistry|Hematology","629970"
"Cd300lg","Body Composition (DEXA lean/fat)|Clinical Chemistry|X-ray|Indirect Calorimetry","52685"
"Cd320","Grip Strength","54219"
"Cd33","Hematology|Intraperitoneal glucose tolerance test (IPGTT)","12489"
"Cd36","Gross Pathology and Tissue Collection|Heart Weight|Intraperitoneal glucose tolerance test (IPGTT)|Clinical Chemistry|Organ Weight|Eye Morphology|Electrocardiogram (ECG)","12491"
"Cd3eap","Organ Weight|Viability E9.5 Secondary Screen","70333"
"Cd40","Hematology|Clinical Chemistry","21939"
"Cd40","Hematology|Clinical Chemistry","21947"
"Cd5","Gross Pathology and Tissue Collection|Organ Weight|Clinical Chemistry","12507"
"Cd55b","Clinical Chemistry|Indirect Calorimetry|Hematology","13137"
"Cd5l","Combined SHIRPA and Dysmorphology|Body Composition (DEXA lean/fat)","11801"
"Cd74","Hematology|Organ Weight","16149"
"Cd83","Gross Pathology and Tissue Collection","12522"
"Cd84","Body Composition (DEXA lean/fat)|Clinical Chemistry","12523"
"Cd96","Clinical Chemistry","84544"
"Cdan1","Gross Pathology and Tissue Collection|Open Field|Gross Morphology Embryo E9.5|Viability Primary Screen|Body Composition (DEXA lean/fat)|Hematology|Viability E14.5-E15.5 Secondary Screen|Viability E9.5 Secondary Screen","68968"
"Cdc123","Intraperitoneal glucose tolerance test (IPGTT)|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Open Field|Acoustic Startle and Pre-pulse Inhibition (PPI)|Viability Primary Screen","98828"
"Cdc14a","Viability Primary Screen|Eye Morphology","229776"
"Cdc20","Intraperitoneal glucose tolerance test (IPGTT)|Viability E9.5 Secondary Screen|Viability Primary Screen|Clinical Chemistry|Viability E12.5 Secondary Screen|Grip Strength","107995"
"Cdc20b","Insulin Blood Level","238896"
"Cdc23","Viability Primary Screen|Combined SHIRPA and Dysmorphology|Viability E9.5 Secondary Screen","52563"
"Cdc26","Clinical Chemistry|Viability Primary Screen","66440"
"Cdc27","Clinical Chemistry","217232"
"Cdc34","Intraperitoneal glucose tolerance test (IPGTT)|Combined SHIRPA and Dysmorphology|Fertility of Homozygous Knock-out Mice|Viability Primary Screen","216150"
"Cdc37","Viability Primary Screen|Open Field - centre start|Viability E9.5 Secondary Screen","12539"
"Cdc37l1","Open Field - centre start|Eye Morphology|Body Composition (DEXA lean/fat)","67072"
"Cdc40","Light-Dark Test","71713"
"Cdc42","Gross Pathology and Tissue Collection|Viability E12.5 Secondary Screen|Clinical Chemistry|Eye Morphology|Body Composition (DEXA lean/fat)|X-ray|Viability Primary Screen|Viability E9.5 Secondary Screen","12540"
"Cdc42bpb","Gross Morphology Embryo E18.5|Open Field - centre start|Gross Morphology Embryo E14.5-E15.5|Viability Primary Screen","217866"
"Cdc42ep5","Combined SHIRPA and Dysmorphology","58804"
"Cdc45","Open Field","12544"
"Cdc5l","Viability E9.5 Secondary Screen|Viability Primary Screen|Electrocardiogram (ECG)|Open Field - centre start","71702"
"Cdc7","Hematology|Viability E12.5 Secondary Screen|Gross Pathology and Tissue Collection|Acoustic Startle and Pre-pulse Inhibition (PPI)|Viability E9.5 Secondary Screen","12545"
"Cdca5","Viability E9.5 Secondary Screen|Electroconvulsive Threshold Testing|Clinical Chemistry|Eye Morphology|Viability Primary Screen|Auditory Brain Stem Response|Viability E12.5 Secondary Screen","67849"
"Cdca7l","Gross Pathology and Tissue Collection|Acoustic Startle and Pre-pulse Inhibition (PPI)|Light-Dark Test|Open Field|Organ Weight","217946"
"Cdcp2","Hole-board Exploration|Open Field|Gross Pathology and Tissue Collection","242603"
"Cdcp3","Clinical Chemistry|Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology","71395"
"Cdh1","Viability Primary Screen","12550"
"Cdh1","Viability Primary Screen","56371"
"Cdh10","Insulin Blood Level|Body Composition (DEXA lean/fat)|Gross Pathology and Tissue Collection|Clinical Chemistry","320873"
"Cdh11","Gross Pathology and Tissue Collection","12552"
"Cdh12","Body Composition (DEXA lean/fat)","215654"
"Cdh13","Open Field|Grip Strength|Hematology","12554"
"Cdh19","Body Composition (DEXA lean/fat)|Clinical Chemistry","227485"
"Cdh23","Combined SHIRPA and Dysmorphology|Clinical Chemistry|Hematology|Viability Primary Screen|Insulin Blood Level|Intraperitoneal glucose tolerance test (IPGTT)|Body Composition (DEXA lean/fat)","22295"
"Cdh26","Challenge Whole Body Plethysmography|Organ Weight","381409"
"Cdh4","Open Field - centre start|Acoustic Startle and Pre-pulse Inhibition (PPI)|Rotarod","12561"
"Cdh7","Light-Dark Test","23836"
"Cdh7","Light-Dark Test","241201"
"Cdh9","Clinical Chemistry","12565"
"Cdin1","Viability Primary Screen|Viability E9.5 Secondary Screen|Combined SHIRPA and Dysmorphology","399568"
"Cdip1","Open Field - centre start|Light-Dark Test|Viability Primary Screen","66626"
"Cdipt","Eye Morphology|Clinical Chemistry|Viability E9.5 Secondary Screen","52858"
"Cdk12","Clinical Chemistry|Hematology|Combined SHIRPA and Dysmorphology|Heart Weight|Organ Weight|Viability E9.5 Secondary Screen|X-ray","69131"
"Cdk13","Acoustic Startle and Pre-pulse Inhibition (PPI)|Eye Morphology|Viability Primary Screen","69562"
"Cdk14","Clinical Chemistry","18647"
"Cdk15","Clinical Chemistry|Hematology","271697"
"Cdk17","Viability Primary Screen|Gross Morphology Embryo E18.5|Open Field - centre start","237459"
"Cdk18","Light-Dark Test","18557"
"Cdk19","Clinical Chemistry|Rotarod|Insulin Blood Level|Body Composition (DEXA lean/fat)|Grip Strength","78334"
"Cdk2ap2","Eye Morphology","52004"
"Cdk4","Fertility of Homozygous Knock-out Mice|Body Composition (DEXA lean/fat)|Gross Morphology Embryo E14.5-E15.5|X-ray|Histopathology","12567"
"Cdk5rap2","Histopathology","214444"
"Cdk5rap3","Echo|Eye Morphology|Intraperitoneal glucose tolerance test (IPGTT)|Clinical Chemistry|Viability Primary Screen","80280"
"Cdk6","Gross Pathology and Tissue Collection","12571"
"Cdk8","Gross Morphology Embryo E9.5|Viability Primary Screen","264064"
"Cdk9","Viability E12.5 Secondary Screen|Gross Pathology and Tissue Collection|Electrocardiogram (ECG)|Viability Primary Screen|Viability E9.5 Secondary Screen","107951"
"Cdkal1","Combined SHIRPA and Dysmorphology|Clinical Chemistry|Insulin Blood Level|Eye Morphology","68916"
"Cdkl2","Clinical Chemistry|Gross Pathology and Tissue Collection","53886"
"Cdkl4","Grip Strength","381113"
"Cdkn1a","Gross Pathology and Tissue Collection|Insulin Blood Level","12575"
"Cdkn1c","Gross Morphology Embryo E14.5-E15.5|Viability Primary Screen|Gross Pathology and Tissue Collection","12577"
"Cdkn2a","Histopathology","12578"
"Cdkn2aipnl","Clinical Chemistry","52626"
"Cdkn3","Grip Strength","72391"
"Cdon","Viability Primary Screen","57810"
"Cds1","Hematology|Fertility of Homozygous Knock-out Mice|Gross Pathology and Tissue Collection","50883"
"Cds1","Hematology|Fertility of Homozygous Knock-out Mice|Gross Pathology and Tissue Collection","74596"
"Cds2","Viability Primary Screen","110911"
"Cdsn","Eye Morphology|Viability Primary Screen","386463"
"Cdyl","Clinical Chemistry|Hematology","12593"
"Cdyl2","Light-Dark Test|Open Field|Eye Morphology|Hematology|Combined SHIRPA and Dysmorphology","75796"
"Ceacam11","Hematology","66996"
"Ceacam12","Hematology","67315"
"Ceacam14","Clinical Chemistry","67084"
"Ceacam16","Rotarod|Clinical Chemistry|Plasma Chemistry|Eye Morphology","330483"
"Ceacam3","Body Composition (DEXA lean/fat)|Hematology","384557"
"Ceacam5","Body Composition (DEXA lean/fat)","73250"
"Cebpz","Clinical Chemistry","12607"
"Cecr2","Gross Morphology Embryo E12.5|Gross Pathology and Tissue Collection|Gross Morphology Embryo E14.5-E15.5|Intraperitoneal glucose tolerance test (IPGTT)","330409"
"Cela1","Open Field","109901"
"Celf1","Viability Primary Screen","13046"
"Celf2","Viability Primary Screen|Body Composition (DEXA lean/fat)","14007"
"Celf4","Viability Primary Screen|Clinical Chemistry|Intraperitoneal glucose tolerance test (IPGTT)","108013"
"Celf6","Grip Strength","76183"
"Celsr1","Viability Primary Screen","12614"
"Cenpe","Eye Morphology|Intraperitoneal glucose tolerance test (IPGTT)|Viability Primary Screen","229841"
"Cenph","Hematology|Body Composition (DEXA lean/fat)","26886"
"Cenpj","Histopathology","219103"
"Cenpl","Viability Primary Screen","70454"
"Cenpo","Clinical Chemistry|Viability E12.5 Secondary Screen|Viability E9.5 Secondary Screen|Viability Primary Screen","52504"
"Cenpt","Viability E9.5 Secondary Screen|Echo","320394"
"Cenpv","Echo","73139"
"Cep120","Body Composition (DEXA lean/fat)|Hematology","225523"
"Cep135","Clinical Chemistry|Gross Morphology Embryo E14.5-E15.5|Viability Primary Screen|Gross Morphology Embryo E12.5|Eye Morphology","381644"
"Cep164","Viability Primary Screen","214552"
"Cep19","Body Composition (DEXA lean/fat)|Eye Morphology|Combined SHIRPA and Dysmorphology","66994"
"Cep250","Hematology|Fertility of Homozygous Knock-out Mice|Auditory Brain Stem Response|Combined SHIRPA and Dysmorphology|Body Composition (DEXA lean/fat)","16328"
"Cep290","Viability Primary Screen|Gross Morphology Embryo E18.5|Open Field","216274"
"Cep350","Open Field - centre start|Grip Strength","74081"
"Cep41","Histopathology|Fertility of Homozygous Knock-out Mice","83922"
"Cep43","Eye Morphology|Clinical Chemistry","75296"
"Cep55","Gross Pathology and Tissue Collection|Eye Morphology|Hematology|Clinical Chemistry","74107"
"Cep57l1","Viability Primary Screen|Viability E9.5 Secondary Screen","103268"
"Cep68","Fertility of Homozygous Knock-out Mice","216543"
"Cep76","Gross Pathology and Tissue Collection","225659"
"Cep78","Fertility of Homozygous Knock-out Mice","208518"
"Cep83","Gross Morphology Embryo E9.5|Gross Pathology and Tissue Collection|Viability Primary Screen|Viability E12.5 Secondary Screen","77048"
"Cep85l","Open Field|Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Gross Pathology and Tissue Collection|Fear Conditioning|Combined SHIRPA and Dysmorphology","100038725"
"Cep95","Open Field - centre start|Combined SHIRPA and Dysmorphology","320162"
"Cep97","Viability Primary Screen|Gross Morphology Embryo E14.5-E15.5","74201"
"Cer1","Gross Pathology and Tissue Collection|X-ray","12622"
"Cer1","Gross Pathology and Tissue Collection|X-ray","171168"
"Cerox1","Clinical Chemistry|Body Composition (DEXA lean/fat)","72834"
"Cers1","Hematology|Viability Primary Screen","93898"
"Cers5","Body Composition (DEXA lean/fat)|Rotarod|Clinical Chemistry","71949"
"Cert1","Grip Strength|Viability Primary Screen","68018"
"Ces1a","Echo","244595"
"Ces1d","Gross Pathology and Tissue Collection","104158"
"Ces1f","Auditory Brain Stem Response|Combined SHIRPA and Dysmorphology","234564"
"Ces2e","Clinical Chemistry|Hematology","234673"
"Ces4a","Clinical Chemistry","234677"
"Cfap161","Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology","75556"
"Cfap206","Eye Morphology|Fertility of Homozygous Knock-out Mice","69329"
"Cfap44","Clinical Chemistry|Fertility of Homozygous Knock-out Mice","212517"
"Cfap53","Viability Primary Screen|Clinical Chemistry|Grip Strength","74453"
"Cfap57","Combined SHIRPA and Dysmorphology|Gross Pathology and Tissue Collection|Histopathology|Fertility of Homozygous Knock-out Mice","68625"
"Cfap61","Hematology|Body Composition (DEXA lean/fat)|Clinical Chemistry|Fertility of Homozygous Knock-out Mice","78774"
"Cfap65","Clinical Chemistry","241116"
"Cfap69","Open Field|Fertility of Homozygous Knock-out Mice|Insulin Blood Level","207686"
"Cfb","Hematology|Gross Pathology and Tissue Collection|Clinical Chemistry","14962"
"Cfd","Gross Pathology and Tissue Collection|Organ Weight","11537"
"Cfdp1","Viability E9.5 Secondary Screen|Body Composition (DEXA lean/fat)|Viability Primary Screen","23837"
"Cfh","Histopathology","12628"
"Cfi","Hematology","12630"
"Cflar","Viability Primary Screen|Open Field","12633"
"Cgn","Gross Morphology Embryo E12.5|Viability Primary Screen|Gross Morphology Embryo E18.5","70737"
"Cgnl1","Gross Pathology and Tissue Collection|Hematology","68178"
"Cgref1","Combined SHIRPA and Dysmorphology|Electrocardiogram (ECG)|Clinical Chemistry","68567"
"Cgrrf1","Body Composition (DEXA lean/fat)|Clinical Chemistry|X-ray","68755"
"Ch25h","Gross Pathology and Tissue Collection|Clinical Chemistry","12642"
"Chac1","X-ray","69065"
"Chaf1b","Viability Primary Screen","110749"
"Chchd1","Viability Primary Screen|Gross Morphology Embryo E9.5|Acoustic Startle and Pre-pulse Inhibition (PPI)|Gross Morphology Embryo E12.5|Hematology","66121"
"Chchd10","Grip Strength|Gross Pathology and Tissue Collection","103172"
"Chchd5","Body Composition (DEXA lean/fat)","66170"
"Chchd6","Clinical Chemistry","66098"
"Chchd7","Histopathology|Gross Pathology and Tissue Collection","66433"
"Chd1","Viability E9.5 Secondary Screen|X-ray|Hematology|Gross Morphology Embryo E12.5|Gross Morphology Embryo E9.5|Gross Pathology and Tissue Collection|Viability E12.5 Secondary Screen","12648"
"Chd1l","Open Field|Combined SHIRPA and Dysmorphology","68058"
"Chd2","Histopathology|X-ray|Body Composition (DEXA lean/fat)|Hematology|Acoustic Startle and Pre-pulse Inhibition (PPI)|Grip Strength","244059"
"Chd3","Body Composition (DEXA lean/fat)|Open Field - centre start|Light-Dark Test","80515"
"Chd3","Body Composition (DEXA lean/fat)|Open Field - centre start|Light-Dark Test","216848"
"Chd4","Viability E9.5 Secondary Screen","107932"
"Chd6","Gross Pathology and Tissue Collection|Clinical Chemistry","71389"
"Chd8","Clinical Chemistry|Open Field|Acoustic Startle and Pre-pulse Inhibition (PPI)|Hematology|Viability Primary Screen|Intraperitoneal glucose tolerance test (IPGTT)","67772"
"Chd9","Body Composition (DEXA lean/fat)|Clinical Chemistry","109151"
"Chdh","Fertility of Homozygous Knock-out Mice","218865"
"Chek2","Electrocardiogram (ECG)","50883"
"Cherp","Open Field - centre start|Body Composition (DEXA lean/fat)|Viability Primary Screen|Viability E9.5 Secondary Screen","27967"
"Chic2","Histopathology|Gross Pathology and Tissue Collection|Viability Primary Screen|Eye Morphology|Combined SHIRPA and Dysmorphology","74277"
"Chil4","Intraperitoneal glucose tolerance test (IPGTT)","104183"
"Chka","Viability Primary Screen","12660"
"Chmp2b","Gross Pathology and Tissue Collection|Viability Primary Screen|Electrocardiogram (ECG)|Clinical Chemistry","68942"
"Chmp3","Viability E9.5 Secondary Screen|Eye Morphology","66700"
"Chmp4c","Hematology","66371"
"Chmp6","Viability E14.5-E15.5 Secondary Screen|Viability E9.5 Secondary Screen|Viability Primary Screen","208092"
"Chmp7","Hematology|Combined SHIRPA and Dysmorphology|Viability E12.5 Secondary Screen|Gross Morphology Embryo E12.5|Gross Morphology Embryo E18.5|Viability Primary Screen","105513"
"Chn1","Hematology|Body Composition (DEXA lean/fat)|Sleep Wake|Clinical Chemistry|Insulin Blood Level|Plasma Chemistry|Grip Strength|Combined SHIRPA and Dysmorphology|Open Field - centre start|Viability Primary Screen","108699"
"Chodl","Combined SHIRPA and Dysmorphology|X-ray","246048"
"Chordc1","Gross Pathology and Tissue Collection|Viability Primary Screen|Eye Morphology","66917"
"Chp1","Eye Morphology|Combined SHIRPA and Dysmorphology","56398"
"Chp2","Viability Primary Screen|Grip Strength","70261"
"Chpf","X-ray|Clinical Chemistry","74241"
"Chrdl1","Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Combined SHIRPA and Dysmorphology","83453"
"Chrm4","Open Field - centre start","12672"
"Chrna1","Viability Primary Screen","11435"
"Chrna2","Gross Pathology and Tissue Collection","110902"
"Chrna5","Combined SHIRPA and Dysmorphology|Hematology","110835"
"Chrna7","Clinical Chemistry|Body Composition (DEXA lean/fat)","11441"
"Chrnb2","Gross Pathology and Tissue Collection|Viability Primary Screen","11444"
"Chrnb4","Grip Strength","108015"
"Chrnd","Gross Morphology Embryo E14.5-E15.5|Gross Morphology Placenta E14.5-E15.5|Viability Primary Screen|Gross Pathology and Tissue Collection","11447"
"Chst11","Viability Primary Screen","58250"
"Chst12","Acoustic Startle and Pre-pulse Inhibition (PPI)|Echo|Hematology","59031"
"Chst14","Electrocardiogram (ECG)|Combined SHIRPA and Dysmorphology|Grip Strength|Open Field","72136"
"Chst2","Gross Pathology and Tissue Collection|Acoustic Startle and Pre-pulse Inhibition (PPI)|Intraperitoneal glucose tolerance test (IPGTT)","54371"
"Chst5","Viability Primary Screen","56773"
"Chst8","Combined SHIRPA and Dysmorphology|Gross Pathology and Tissue Collection","68947"
"Chsy3","Gross Pathology and Tissue Collection|Open Field|Body Composition (DEXA lean/fat)|Grip Strength|Hematology|Fertility of Homozygous Knock-out Mice","78923"
"Chtf18","Gross Morphology Embryo E18.5|Electrocardiogram (ECG)|Light-Dark Test|Viability Primary Screen","214901"
"Chtop","X-ray|Clinical Chemistry|Viability Primary Screen","66511"
"Churc1","Echo|Gross Pathology and Tissue Collection|X-ray","211151"
"Ciao2a","Intraperitoneal glucose tolerance test (IPGTT)","68250"
"Ciao2b","Electrocardiogram (ECG)|Immunophenotyping|Gross Pathology and Tissue Collection|Viability E12.5 Secondary Screen|Viability E9.5 Secondary Screen","68523"
"Cib1","Fertility of Homozygous Knock-out Mice|Hematology|Grip Strength|Intraperitoneal glucose tolerance test (IPGTT)|Combined SHIRPA and Dysmorphology","23991"
"Cib2","Auditory Brain Stem Response|Acoustic Startle and Pre-pulse Inhibition (PPI)|Combined SHIRPA and Dysmorphology|Clinical Chemistry","56506"
"Cib3","Eye Morphology|Combined SHIRPA and Dysmorphology|Open Field|Clinical Chemistry","234421"
"Cibar1","Clinical Chemistry|Hematology|Body Composition (DEXA lean/fat)|X-ray|Intraperitoneal glucose tolerance test (IPGTT)","68099"
"Cidea","Eye Morphology|Body Composition (DEXA lean/fat)","12683"
"Cidec","Body Composition (DEXA lean/fat)|Hematology|Clinical Chemistry|Eye Morphology","14311"
"Cilk1","Gross Pathology and Tissue Collection","56542"
"Cilp","Clinical Chemistry|Hematology|Combined SHIRPA and Dysmorphology|Body Composition (DEXA lean/fat)","214425"
"Cinp","Viability Primary Screen|Intraperitoneal glucose tolerance test (IPGTT)|Gross Pathology and Tissue Collection|Viability E12.5 Secondary Screen|Viability E9.5 Secondary Screen","67236"
"Cir1","Grip Strength|Viability Primary Screen","66935"
"Cisd1","Electrocardiogram (ECG)|Clinical Chemistry","52637"
"Cited4","Grip Strength|Hematology","56222"
"Ckap4","Gross Morphology Embryo E18.5","216197"
"Ckap5","Gross Morphology Embryo E9.5|Viability E9.5 Secondary Screen|Echo","75786"
"Ckb","Body Composition (DEXA lean/fat)|Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Organ Weight|Open Field|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Intraperitoneal glucose tolerance test (IPGTT)|Hematology","12651"
"Ckb","Body Composition (DEXA lean/fat)|Acoustic Startle and Pre-pulse Inhibition (PPI)|Auditory Brain Stem Response|Organ Weight|Open Field|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Intraperitoneal glucose tolerance test (IPGTT)|Hematology","12709"
"Clasp1","Gross Pathology and Tissue Collection|Viability Primary Screen|Open Field|Clinical Chemistry","76707"
"Clca1","Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology","12722"
"Clca1","Gross Pathology and Tissue Collection|Combined SHIRPA and Dysmorphology","23844"
"Clcc1","Viability Primary Screen|Gross Morphology Embryo E9.5|Viability E12.5 Secondary Screen","229725"
"Clcf1","Body Composition (DEXA lean/fat)|Viability Primary Screen","56708"
"Clcnka","Clinical Chemistry","12733"
"Clcnkb","Gross Pathology and Tissue Collection|Body Composition (DEXA lean/fat)|Hole-board Exploration|Electrocardiogram (ECG)|Heart Weight|Intraperitoneal glucose tolerance test (IPGTT)|Open Field|Hematology|Grip Strength|Organ Weight|Clinical Chemistry","56365"
"Cldn11","Open Field|Combined SHIRPA and Dysmorphology|Acoustic Startle and Pre-pulse Inhibition (PPI)","18417"
"Cldn13","Intraperitoneal glucose tolerance test (IPGTT)|Hematology|Clinical Chemistry|Grip Strength|Electrocardiogram (ECG)|Eye Morphology","57255"
"Cldn16","Histopathology","114141"
"Cldn18","Organ Weight|Gross Pathology and Tissue Collection|Clinical Chemistry|Histopathology","56492"
"Cldn19","Sleep Wake|Clinical Chemistry|Combined SHIRPA and Dysmorphology|Insulin Blood Level|Electrocardiogram (ECG)","242653"
"Cldn3","Combined SHIRPA and Dysmorphology","12739"
"Cldn34b2","Clinical Chemistry","73347"
"Cldnd2","Eye Morphology|Intraperitoneal glucose tolerance test (IPGTT)","74276"
"Clec16a","Hole-board Exploration|Viability Primary Screen|Auditory Brain Stem Response","74374"
"Clec3a","Body Composition (DEXA lean/fat)|Combined SHIRPA and Dysmorphology|Auditory Brain Stem Response","403395"
"Clec3b","Grip Strength","21922"
"Clec4a3","Clinical Chemistry","73149"
"Clec4a4","Grip Strength|Hematology|Gross Pathology and Tissue Collection","474145"
"Clec5a","Gross Pathology and Tissue Collection|Open Field|Acoustic Startle and Pre-pulse Inhibition (PPI)|Eye Morphology|Hematology","23845"
"Clic3","Clinical Chemistry","69454"
"Clic5","Combined SHIRPA and Dysmorphology|Acoustic Startle and Pre-pulse Inhibition (PPI)|Eye Morphology","224796"
"Clk2","Acoustic Startle and Pre-pulse Inhibition (PPI)","12748"
"Clmn","Acoustic Startle and Pre-pulse Inhibition (PPI)","94040"
"Cln6","Hematology|Heart Weight|Clinical Chemistry|Body Composition (DEXA lean/fat)","76524"
"Cln8","Clinical Chemistry|Gross Pathology and Tissue Collection|Fear Conditioning|Eye Morphology","26889"
"Clnk","Gross Pathology and Tissue Collection","27278"
"Clpp","Fertility of Homozygous Knock-out Mice|Body Composition (DEXA lean/fat)|Clinical Chemistry|Hematology|Insulin Blood Level|Auditory Brain Stem Response|Combined SHIRPA and Dysmorphology","53895"
"Clps","Gross Pathology and Tissue Collection|Viability Primary Screen","109791"
"Clptm1l","Open Field - centre start|Grip Strength|Combined SHIRPA and Dysmorphology|Body Composition (DEXA lean/fat)|Eye Morphology|Acoustic Startle and Pre-pulse Inhibition (PPI)|Light-Dark Test","218335"
"Clpx","Viability E9.5 Secondary Screen|Viability Primary Screen","270166"
"Clrn1","Combined SHIRPA and Dysmorphology|Gross Pathology and Tissue Collection|Auditory Brain Stem Response","229320"
